f_1,f_2,f_3
0.575539568,0.008992806,0.415467626
0.405417607,0.588713318,0.005869074
0.411067194,0.266007905,0.322924901
0.725161781,0.190331176,0.084507042
0.367583835,0.400687876,0.231728289
0.013053933,0.445551357,0.54139471
0.070222222,0,0.929777778
0.454713494,0.065064695,0.480221811
0.318477252,0.526462396,0.155060353
0.254054054,0.207807808,0.538138138
0.468277946,0.15407855,0.377643505
0.096300646,0.426893717,0.476805637
0.111839568,0.308137293,0.580023139
0.325285044,0.052313883,0.622401073
0.105890603,0.745441795,0.148667602
0.127171647,0.300903405,0.571924948
0.638847858,0.257385524,0.103766617
0.493589744,0.209653092,0.296757164
0.121212121,0.312457912,0.566329966
0.260648691,0.341148886,0.398202423
0.095376926,0.468138276,0.436484798
0.405228758,0.469862019,0.124909223
0.460900474,0.066745656,0.47235387
0.353051997,0.293142427,0.353805576
0.117117117,0,0.882882883
0.454278369,0.064634594,0.481087036
0.487334594,0.207561437,0.30510397
0.15782907,0.094198378,0.747972551
0.376033058,0.260330579,0.363636364
0.093011035,0.075669995,0.83131897
0.413731343,0.08,0.506268657
0.63130352,0.303520457,0.065176023
0.300673149,0.283470456,0.415856395
0.47027439,0.129192073,0.400533537
0.542505593,0.227628635,0.229865772
0.205552274,0.45717661,0.337271116
0.258823529,0.527365729,0.213810742
0.282746682,0.240623197,0.476630121
0.665223665,0.181818182,0.152958153
0.378223496,0,0.621776504
0.190290179,0.640066964,0.169642857
0.315442147,0.322921249,0.361636604
0.132628544,0.799615569,0.067755887
0.477250726,0.100677638,0.422071636
1,0,0
0.543295019,0.257471264,0.199233716
0.698512138,0.261942052,0.03954581
0.135176651,0.178187404,0.686635945
0.512528474,0.006833713,0.480637813
0.093239227,0.38781575,0.518945022
0.118165785,0.118165785,0.76366843
0.027921819,0.009174312,0.962903869
0.215510204,0.023673469,0.760816327
0.357056695,0.08504222,0.557901086
0.410940627,0.079386258,0.509673115
0.323539699,0.027632039,0.648828262
0.096951736,0.023285351,0.879762913
0.438648053,0.024246877,0.53710507
0.636627907,0.01744186,0.345930233
0.734110787,0.093877551,0.172011662
0.8126294,0.113354037,0.074016563
0.871943086,0.091151623,0.036905291
0.780135301,0.0799508,0.139913899
0.052939154,0.163286353,0.783774493
0.085611833,0.066786195,0.847601972
0.108546475,0.331877729,0.559575795
0.067016317,0.106060606,0.826923077
0.037156704,0.042541734,0.920301562
0.056750299,0.218040621,0.72520908
0.054066986,0.255502392,0.690430622
0.050196421,0.259275426,0.690528154
0.025568182,0.229166667,0.745265152
0.03870387,0.094509451,0.866786679
0.0202977,0.02097429,0.958728011
0.080670927,0,0.919329073
0.543710021,0,0.456289979
0.749132948,0,0.250867052
0.763461538,0,0.236538462
0.555417186,0,0.444582814
0.817650186,0,0.182349814
0.641722408,0.052257525,0.306020067
0,0,1
0.379760042,0.029733959,0.590505999
0.092900609,0.382555781,0.524543611
0,0,1
0.278120185,0.039548023,0.682331793
0.191748983,0,0.808251017
0.353061224,0,0.646938776
0.599009901,0,0.400990099
